treatment,quadrat_name,species_name,scientificName,coverage,rank
Pyric Herbivorism,PR15Q2,Hornungia petraea,Hornungia petraea (L.) Rchb.,0.3,SPECIES
Pyric Herbivorism,PR15Q2,Inula montana,Inula montana Lucé,1,SPECIES
Pyric Herbivorism,PR15Q2,Macrochloa tenacissima,"Macrochloa tenacissima Linnaeus, 1755",54,SPECIES
Pyric Herbivorism,PR15Q2,Salvia lavandulifolia subsp. vellerea,Salvia lavandulifolia subsp. vellerea (Cuatrec.) Rivas Goday & Rivas Mart.,0.3,SUBSPECIES
Pyric Herbivorism,PR15Q3,Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.,0.1,SPECIES
Pyric Herbivorism,PR15Q3,Asperula hirsuta,Asperula hirsuta Desf.,0.2,SPECIES
Pyric Herbivorism,PR15Q3,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.3,SPECIES
Pyric Herbivorism,PR15Q3,Cerastium brachypetalum,Cerastium brachypetalum Desf. ex Pers.,0.2,SPECIES
Pyric Herbivorism,PR15Q3,Festuca capillifolia,Festuca capillifolia Dufour ex Roem. & Schult.,1.5,SPECIES
Pyric Herbivorism,PR15Q3,Helianthemum cinereum subsp. cinereum,Helianthemum cinereum subsp. cinereum,1,SUBSPECIES
Pyric Herbivorism,PR15Q3,Helictotrichon filifolium,Helictotrichon filifolium (Lag.) Henrard,19,SPECIES
Pyric Herbivorism,PR15Q3,Hornungia petraea,Hornungia petraea (L.) Rchb.,0.2,SPECIES
Pyric Herbivorism,PR15Q3,Linum suffruticosum,Linum suffruticosum L.,0.7,SPECIES
Pyric Herbivorism,PR15Q3,Odontites,Odontites Ludw.,0.1,GENUS
Pyric Herbivorism,PR15Q3,Reseda undata subsp. Undata,Reseda undata L.,0.1,SPECIES
Pyric Herbivorism,PR15Q3,Salvia lavandulifolia subsp. vellerea,Salvia lavandulifolia subsp. vellerea (Cuatrec.) Rivas Goday & Rivas Mart.,6,SUBSPECIES
Pyric Herbivorism,PR15Q3,Silene mellifera,Silene mellifera Boiss. & Reut.,0.5,SPECIES
Pyric Herbivorism,PR15Q3,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,0.4,SUBSPECIES
Pyric Herbivorism,PR15Q4,Asperula hirsuta,Asperula hirsuta Desf.,0.2,SPECIES
Pyric Herbivorism,PR15Q4,Avenula bromoides subsp. pauneroi,Avenula bromoides subsp. pauneroi Romero Zarco,0.2,SUBSPECIES
Pyric Herbivorism,PR15Q4,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.4,SPECIES
Pyric Herbivorism,PR15Q4,Carex hallerana,Carex halleriana Asso,0.5,SPECIES
Pyric Herbivorism,PR15Q4,Chaenorhinum grandiflorum,Chaenorhinum grandiflorum (Coss.) Willk.,0.2,SPECIES
Pyric Herbivorism,PR15Q4,Festuca capillifolia,Festuca capillifolia Dufour ex Roem. & Schult.,1.2,SPECIES
Pyric Herbivorism,PR15Q4,Genista scorpius,Genista scorpius (L.) DC.,1,SPECIES
Pyric Herbivorism,PR15Q4,Helianthemum appenninum,Helianthemum apenninum (L.) Mill.,2.5,SPECIES
Pyric Herbivorism,PR15Q4,Helianthemum cinereum subsp. cinereum,Helianthemum cinereum subsp. cinereum,2,SUBSPECIES
Pyric Herbivorism,PR15Q4,Helictotrichon filifolium,Helictotrichon filifolium (Lag.) Henrard,1,SPECIES
Pyric Herbivorism,PR15Q4,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,1,SPECIES
Pyric Herbivorism,PR15Q4,Linum suffruticosum,Linum suffruticosum L.,0.8,SPECIES
Pyric Herbivorism,PR15Q4,Salvia lavandulifolia subsp. vellerea,Salvia lavandulifolia subsp. vellerea (Cuatrec.) Rivas Goday & Rivas Mart.,3.5,SUBSPECIES
Pyric Herbivorism,PR15Q5,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.3,SPECIES
Pyric Herbivorism,PR15Q5,Carex hallerana,Carex halleriana Asso,0.8,SPECIES
Pyric Herbivorism,PR15Q5,Crepis albida subsp. grosii,Crepis albida subsp. grosii (Pau) Babc.,0.6,SUBSPECIES
Pyric Herbivorism,PR15Q5,Festuca capillifolia,Festuca capillifolia Dufour ex Roem. & Schult.,2.3,SPECIES
Pyric Herbivorism,PR15Q5,Genista scorpius,Genista scorpius (L.) DC.,0.3,SPECIES
Pyric Herbivorism,PR15Q5,Helianthemum appenninum,Helianthemum apenninum (L.) Mill.,5,SPECIES
Pyric Herbivorism,PR15Q5,Helianthemum cinereum subsp. cinereum,Helianthemum cinereum subsp. cinereum,0.5,SUBSPECIES
Pyric Herbivorism,PR15Q5,Helictotrichon filifolium,Helictotrichon filifolium (Lag.) Henrard,3,SPECIES
Pyric Herbivorism,PR15Q5,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,0.7,SPECIES
Pyric Herbivorism,PR15Q5,Linum suffruticosum,Linum suffruticosum L.,1,SPECIES
Pyric Herbivorism,PR15Q5,Staehelina dubia,Staehelina dubia L.,0.3,SPECIES
Pyric Herbivorism,PR15Q6,Arenaria leptoclados,Arenaria leptoclados (Rchb.) Guss.,0.1,SPECIES
Pyric Herbivorism,PR15Q6,Carex hallerana,Carex halleriana Asso,1.2,SPECIES
Pyric Herbivorism,PR15Q6,Chaenorhinum grandiflorum,Chaenorhinum grandiflorum (Coss.) Willk.,0.2,SPECIES
Pyric Herbivorism,PR15Q6,Genista scorpius,Genista scorpius (L.) DC.,19.5,SPECIES
Pyric Herbivorism,PR15Q6,Helianthemum appenninum,Helianthemum apenninum (L.) Mill.,2,SPECIES
Pyric Herbivorism,PR15Q6,Helictotrichon filifolium,Helictotrichon filifolium (Lag.) Henrard,2,SPECIES
Pyric Herbivorism,PR15Q6,Hornungia petraea,Hornungia petraea (L.) Rchb.,1.5,SPECIES
Pyric Herbivorism,PR15Q6,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,0.3,SPECIES
Pyric Herbivorism,PR15Q6,Linum suffruticosum,Linum suffruticosum L.,0.4,SPECIES
Pyric Herbivorism,PR15Q6,Ononis pusilla,Ononis pusilla L.,0.1,SPECIES
Pyric Herbivorism,PR15Q6,Reseda alba,Reseda alba L.,1,SPECIES
Pyric Herbivorism,PR15Q6,Reseda lutea,Reseda lutea L.,0.5,SPECIES
Pyric Herbivorism,PR15Q6,Sideritis pusilla,Sideritis pusilla (Lange) Pau,2.5,SPECIES
Pyric Herbivorism,PR15Q6,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,1,SUBSPECIES
Pyric Herbivorism,PR15Q7,Biscutella laxa,Biscutella laxa Boiss. & Reut.,0.7,SPECIES
Pyric Herbivorism,PR15Q7,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.2,SPECIES
Pyric Herbivorism,PR15Q7,Carex hallerana,Carex halleriana Asso,1,SPECIES
Pyric Herbivorism,PR15Q7,Crepis albida subsp. grosii,Crepis albida subsp. grosii (Pau) Babc.,1,SUBSPECIES
Pyric Herbivorism,PR15Q7,Genista scorpius,Genista scorpius (L.) DC.,7,SPECIES
Pyric Herbivorism,PR15Q7,Helianthemum appenninum,Helianthemum apenninum (L.) Mill.,8,SPECIES
Pyric Herbivorism,PR15Q7,Helianthemum cinereum subsp. cinereum,Helianthemum cinereum subsp. cinereum,0.4,SUBSPECIES
Pyric Herbivorism,PR15Q7,Helictotrichon filifolium,Helictotrichon filifolium (Lag.) Henrard,5,SPECIES
Pyric Herbivorism,PR15Q7,Hippocrepis bourgaei,Hippocrepis bourgaei (Nyman) Hervier,0.1,SPECIES
Pyric Herbivorism,PR15Q7,Hornungia petraea,Hornungia petraea (L.) Rchb.,0.5,SPECIES
Pyric Herbivorism,PR15Q7,Reseda lutea,Reseda lutea L.,1,SPECIES
Pyric Herbivorism,PR15Q7,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,0.1,SUBSPECIES
Pyric Herbivorism,PR15Q7,Trifolium arvense,Trifolium arvense L.,0.3,SPECIES
Pyric Herbivorism,PR15Q8,Asterolinon linum-stellatum,Asterolinon linum-stellatum (L.) Duby,0.3,SPECIES
Pyric Herbivorism,PR15Q8,Bromus tectorum,Bromus tectorum L.,0.2,SPECIES
Pyric Herbivorism,PR15Q8,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.5,SPECIES
Pyric Herbivorism,PR15Q8,Cerastium brachypetalum,Cerastium brachypetalum Desf. ex Pers.,0.1,SPECIES
Pyric Herbivorism,PR15Q8,Genista scorpius,Genista scorpius (L.) DC.,1.5,SPECIES
Pyric Herbivorism,PR15Q8,Helianthemum appenninum,Helianthemum apenninum (L.) Mill.,2,SPECIES
Pyric Herbivorism,PR15Q8,Helianthemum ledifolium,Helianthemum ledifolium (L.) Mill.,2.5,SPECIES
Pyric Herbivorism,PR15Q8,Helictotrichon filifolium,Helictotrichon filifolium (Lag.) Henrard,0.3,SPECIES
Pyric Herbivorism,PR15Q8,Hornungia petraea,Hornungia petraea (L.) Rchb.,0.3,SPECIES
Pyric Herbivorism,PR15Q8,Linaria simplex,Linaria simplex (Willd.) DC.,0.1,SPECIES
Pyric Herbivorism,PR15Q8,Linum suffruticosum,Linum suffruticosum L.,0.7,SPECIES
Pyric Herbivorism,PR15Q8,Minuartia hybrida,Minuartia hybrida Vill.,0.3,SPECIES
Pyric Herbivorism,PR15Q8,Stipa bufensis,"Stipa bufensis F.M.Vázquez, H.Scholz & Sonnentag",1,SPECIES
Pyric Herbivorism,PR16Q1,Asterolinon linum-stellatum,Asterolinon linum-stellatum (L.) Duby,0.2,SPECIES
Pyric Herbivorism,PR16Q1,Astragalus sesameus,Astragalus sesameus L.,0.1,SPECIES
Pyric Herbivorism,PR16Q1,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.5,SPECIES
Pyric Herbivorism,PR16Q1,Filago fuscescens,Filago fuscescens Pomel,0.2,SPECIES
Pyric Herbivorism,PR16Q1,Genista scorpius,Genista scorpius (L.) DC.,0.4,SPECIES
Pyric Herbivorism,PR16Q1,Linaria simplex,Linaria simplex (Willd.) DC.,0.1,SPECIES
Pyric Herbivorism,PR16Q1,Macrochloa tenacissima,"Macrochloa tenacissima Linnaeus, 1755",80,SPECIES
Pyric Herbivorism,PR16Q1,Minuartia hybrida,Minuartia hybrida Vill.,0.1,SPECIES
Pyric Herbivorism,PR16Q1,Ononis pusilla,Ononis pusilla L.,0.7,SPECIES
Pyric Herbivorism,PR16Q2,Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.,0.2,SPECIES
Pyric Herbivorism,PR16Q2,Asterolinon linum-stellatum,Asterolinon linum-stellatum (L.) Duby,0.2,SPECIES
Pyric Herbivorism,PR16Q2,Biscutella laxa,Biscutella laxa Boiss. & Reut.,0.5,SPECIES
Pyric Herbivorism,PR16Q2,Cerastium brachypetalum,Cerastium brachypetalum Desf. ex Pers.,0.3,SPECIES
Pyric Herbivorism,PR16Q2,Fumaria officinalis subsp. officinalis,Fumaria officinalis subsp. officinalis,0.2,SUBSPECIES
Pyric Herbivorism,PR16Q2,Genista scorpius,Genista scorpius (L.) DC.,1,SPECIES
Pyric Herbivorism,PR16Q2,Helianthemum almeriense,Helianthemum almeriense Pau,0.7,SPECIES
Pyric Herbivorism,PR16Q2,Hornungia petraea,Hornungia petraea (L.) Rchb.,0.1,SPECIES
Pyric Herbivorism,PR16Q2,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,0.3,SPECIES
Pyric Herbivorism,PR16Q2,Linum suffruticosum,Linum suffruticosum L.,0.5,SPECIES
Pyric Herbivorism,PR16Q2,Macrochloa tenacissima,"Macrochloa tenacissima Linnaeus, 1755",80,SPECIES
Pyric Herbivorism,PR16Q2,Papaver dubium,Papaver dubium L.,0.2,SPECIES
Pyric Herbivorism,PR16Q2,Polygala rupestris,Polygala rupestris Pourr.,0.3,SPECIES
Pyric Herbivorism,PR16Q2,Reseda lutea,Reseda lutea L.,1,SPECIES
Pyric Herbivorism,PR16Q2,Silene mellifera,Silene mellifera Boiss. & Reut.,0.2,SPECIES
Pyric Herbivorism,PR16Q3,Androsace maxima,Androsace maxima L.,0.2,SPECIES
Pyric Herbivorism,PR16Q3,Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.,5,SPECIES
Pyric Herbivorism,PR16Q3,Arenaria leptoclados,Arenaria leptoclados (Rchb.) Guss.,1,SPECIES
Pyric Herbivorism,PR16Q3,Bromus tectorum,Bromus tectorum L.,0.2,SPECIES
Pyric Herbivorism,PR16Q3,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.4,SPECIES
Pyric Herbivorism,PR16Q3,Cerastium brachypetalum,Cerastium brachypetalum Desf. ex Pers.,0.5,SPECIES
Pyric Herbivorism,PR16Q3,Clypeola jonthlaspi subsp. microcarpa,Clypeola jonthlaspi subsp. microcarpa (Boiss.) Breistr.,0.5,SUBSPECIES
Pyric Herbivorism,PR16Q3,Euphorbia segetalis,Euphorbia segetalis L.,1.7,SPECIES
Pyric Herbivorism,PR16Q3,Genista scorpius,Genista scorpius (L.) DC.,3.5,SPECIES
Pyric Herbivorism,PR16Q3,Linaria simplex,Linaria simplex (Willd.) DC.,0.3,SPECIES
Pyric Herbivorism,PR16Q3,Minuartia hybrida,Minuartia hybrida Vill.,3,SPECIES
Pyric Herbivorism,PR16Q3,Polygala rupestris,Polygala rupestris Pourr.,0.8,SPECIES
Pyric Herbivorism,PR16Q3,Reseda lutea,Reseda lutea L.,1.2,SPECIES
Pyric Herbivorism,PR16Q3,Sanguisorba,Sanguisorba L.,1,GENUS
Pyric Herbivorism,PR16Q3,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,1.5,SUBSPECIES
Pyric Herbivorism,PR16Q3,Valerianella,Valerianella Mill.,0.1,GENUS
Pyric Herbivorism,PR16Q4,Asterolinon linum-stellatum,Asterolinon linum-stellatum (L.) Duby,0.1,SPECIES
Pyric Herbivorism,PR16Q4,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,1.3,SPECIES
Pyric Herbivorism,PR16Q4,Cerastium brachypetalum,Cerastium brachypetalum Desf. ex Pers.,0.1,SPECIES
Pyric Herbivorism,PR16Q4,Genista scorpius,Genista scorpius (L.) DC.,1,SPECIES
Pyric Herbivorism,PR16Q4,Helianthemum ledifolium,Helianthemum ledifolium (L.) Mill.,2.5,SPECIES
Pyric Herbivorism,PR16Q4,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,0.7,SPECIES
Pyric Herbivorism,PR16Q4,Linum suffruticosum,Linum suffruticosum L.,0.2,SPECIES
Pyric Herbivorism,PR16Q4,Macrochloa tenacissima,"Macrochloa tenacissima Linnaeus, 1755",2.5,SPECIES
Pyric Herbivorism,PR16Q4,Minuartia hybrida,Minuartia hybrida Vill.,0.2,SPECIES
Pyric Herbivorism,PR16Q4,Onopordum acaulon,Onopordum acaulon L.,2.5,SPECIES
Pyric Herbivorism,PR16Q4,Polygala rupestris,Polygala rupestris Pourr.,0.7,SPECIES
Pyric Herbivorism,PR16Q4,Reseda alba,Reseda alba L.,1,SPECIES
Pyric Herbivorism,PR16Q4,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,1.5,SUBSPECIES
Pyric Herbivorism,PR16Q5,Andryala ragusina,Andryala ragusina L.,0.1,SPECIES
Pyric Herbivorism,PR16Q5,Asphodelus albus,Asphodelus albus Mill.,0.3,SPECIES
Pyric Herbivorism,PR16Q5,Avenula bromoides subsp. pauneroi,Avenula bromoides subsp. pauneroi Romero Zarco,0.1,SUBSPECIES
Pyric Herbivorism,PR16Q5,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,2,SPECIES
Pyric Herbivorism,PR16Q5,Crupina,Crupina (Pers.) DC.,0.1,GENUS
Pyric Herbivorism,PR16Q5,Genista scorpius,Genista scorpius (L.) DC.,2,SPECIES
Pyric Herbivorism,PR16Q5,Helianthemum almeriense,Helianthemum almeriense Pau,13,SPECIES
Pyric Herbivorism,PR16Q5,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,0.5,SPECIES
Pyric Herbivorism,PR16Q5,Linum suffruticosum,Linum suffruticosum L.,0.8,SPECIES
Pyric Herbivorism,PR16Q5,Minuartia hybrida,Minuartia hybrida Vill.,0.1,SPECIES
Pyric Herbivorism,PR16Q5,Polygala rupestris,Polygala rupestris Pourr.,0.2,SPECIES
Pyric Herbivorism,PR16Q5,Reseda lutea,Reseda lutea L.,0.2,SPECIES
Pyric Herbivorism,PR16Q6,Androsace maxima,Androsace maxima L.,0.1,SPECIES
Pyric Herbivorism,PR16Q6,Arenaria leptoclados,Arenaria leptoclados (Rchb.) Guss.,0.4,SPECIES
Pyric Herbivorism,PR16Q6,Bombycilaena,Bombycilaena (DC.) Smoljan.,1,GENUS
Pyric Herbivorism,PR16Q6,Bromus hordeaceus,Bromus hordeaceus L.,0.5,SPECIES
Pyric Herbivorism,PR16Q6,Bufonia tenuifolia,Bufonia tenuifolia L.,0.1,SPECIES
Pyric Herbivorism,PR16Q6,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,2.5,SPECIES
Pyric Herbivorism,PR16Q6,Cerastium brachypetalum,Cerastium brachypetalum Desf. ex Pers.,0.3,SPECIES
Pyric Herbivorism,PR16Q6,Clypeola jonthlaspi subsp. microcarpa,Clypeola jonthlaspi subsp. microcarpa (Boiss.) Breistr.,0.1,SUBSPECIES
Pyric Herbivorism,PR16Q6,Filago fuscescens,Filago fuscescens Pomel,0.1,SPECIES
Pyric Herbivorism,PR16Q6,Galium parissiense subsp. parissiense,Galium parisiense subsp. parisiense,0.1,SUBSPECIES
Pyric Herbivorism,PR16Q6,Genista scorpius,Genista scorpius (L.) DC.,2.5,SPECIES
Pyric Herbivorism,PR16Q6,Helianthemum almeriense,Helianthemum almeriense Pau,0.3,SPECIES
Pyric Herbivorism,PR16Q6,Helianthemum ledifolium,Helianthemum ledifolium (L.) Mill.,0.1,SPECIES
Pyric Herbivorism,PR16Q6,Helianthemum salicifolium,Helianthemum salicifolium (L.) Mill.,0.1,SPECIES
Pyric Herbivorism,PR16Q6,Helictotrichon filifolium,Helictotrichon filifolium (Lag.) Henrard,0.1,SPECIES
Pyric Herbivorism,PR16Q6,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,0.5,SPECIES
Pyric Herbivorism,PR16Q6,Lavandula lanata,Lavandula lanata Boiss.,0.2,SPECIES
Pyric Herbivorism,PR16Q6,Linum suffruticosum,Linum suffruticosum L.,1,SPECIES
Pyric Herbivorism,PR16Q6,Poa bulbosa,Poa bulbosa L.,0.4,SPECIES
Pyric Herbivorism,PR16Q6,Stipa bufensis,"Stipa bufensis F.M.Vázquez, H.Scholz & Sonnentag",0.3,SPECIES
Pyric Herbivorism,PR16Q6,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,1,SUBSPECIES
Pyric Herbivorism,PR16Q6,Valerianella,Valerianella Mill.,0.1,GENUS
Pyric Herbivorism,PR16Q6,Xeranthemum inapertum,Xeranthemum inapertum (L.) Mill.,0.1,SPECIES
Pyric Herbivorism,PR16Q7,Arenaria leptoclados,Arenaria leptoclados (Rchb.) Guss.,0.1,SPECIES
Pyric Herbivorism,PR16Q7,Avenula bromoides subsp. pauneroi,Avenula bromoides subsp. pauneroi Romero Zarco,0.1,SUBSPECIES
Pyric Herbivorism,PR16Q7,Bromus rubens,Bromus rubens L.,0.5,SPECIES
Pyric Herbivorism,PR16Q7,Euphorbia serrata,Euphorbia serrata L.,3.8,SPECIES
Pyric Herbivorism,PR16Q7,Genista scorpius,Genista scorpius (L.) DC.,8,SPECIES
Pyric Herbivorism,PR16Q7,Helianthemum almeriense,Helianthemum almeriense Pau,6,SPECIES
Pyric Herbivorism,PR16Q7,Helianthemum salicifolium,Helianthemum salicifolium (L.) Mill.,0.2,SPECIES
Pyric Herbivorism,PR16Q7,Hippocrepis ciliata,Hippocrepis ciliata Willd.,0.2,SPECIES
Pyric Herbivorism,PR16Q7,Hornungia petraea,Hornungia petraea (L.) Rchb.,0.1,SPECIES
Pyric Herbivorism,PR16Q7,Koeleria vallesiana,Koeleria vallesiana (Honck.) Bertol. ex Schult.,1.5,SPECIES
Pyric Herbivorism,PR16Q7,Lavandula lanata,Lavandula lanata Boiss.,0.7,SPECIES
Pyric Herbivorism,PR16Q7,Linum suffruticosum,Linum suffruticosum L.,0.6,SPECIES
Pyric Herbivorism,PR16Q7,Medicago minima,Medicago minima (L.) Bartal.,0.1,SPECIES
Pyric Herbivorism,PR16Q7,Reseda lutea,Reseda lutea L.,0.3,SPECIES
Pyric Herbivorism,PR16Q7,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,0.5,SUBSPECIES
Pyric Herbivorism,PR16Q8,Bromus tectorum,Bromus tectorum L.,0.1,SPECIES
Pyric Herbivorism,PR16Q8,Bupleurum spinosum,Bupleurum spinosum Gouan & Ill.Observ.Bot.,0.6,SPECIES
Pyric Herbivorism,PR16Q8,Festuca capillifolia,Festuca capillifolia Dufour ex Roem. & Schult.,0.4,SPECIES
Pyric Herbivorism,PR16Q8,Genista scorpius,Genista scorpius (L.) DC.,1.6,SPECIES
Pyric Herbivorism,PR16Q8,Helianthemum almeriense,Helianthemum almeriense Pau,8,SPECIES
Pyric Herbivorism,PR16Q8,Linum suffruticosum,Linum suffruticosum L.,0.2,SPECIES
Pyric Herbivorism,PR16Q8,Macrochloa tenacissima,"Macrochloa tenacissima Linnaeus, 1755",0.1,SPECIES
Pyric Herbivorism,PR16Q8,Stipa bufensis,"Stipa bufensis F.M.Vázquez, H.Scholz & Sonnentag",0.1,SPECIES
Pyric Herbivorism,PR16Q8,Teucrium capitatum subsp. gracillimum,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.,1,SUBSPECIES
Pyric Herbivorism,PR17Q1,Bromus rubens,Bromus rubens L.,0.5,SPECIES
Pyric Herbivorism,PR17Q1,Genista scorpius,Genista scorpius (L.) DC.,3,SPECIES
Pyric Herbivorism,PR17Q1,Helianthemum almeriense,Helianthemum almeriense Pau,6,SPECIES
Pyric Herbivorism,PR17Q1,Linum suffruticosum,Linum suffruticosum L.,0.2,SPECIES
Pyric Herbivorism,PR17Q1,Malcolmia africana,Malcolmia africana (L.) R.Br.,0.3,SPECIES
Pyric Herbivorism,PR17Q1,Rosmarinus officinalis,Rosmarinus officinalis L.,0.1,SPECIES
